customer_id,frequency,recency,T,monetary_value,predicted_purchases_6m,predicted_avg_value,predicted_ltv_6m,gender,location,tenure_months
12346,0.0,0.0,107.0,0.0,0.4861626467316348,1265.5940519672656,615.28455399222,F,New York,31
12347,2.0,223.0,282.0,1163.375,0.8679460347124597,1240.9871662780033,1077.1098901000448,M,New York,20
12348,1.0,119.0,192.0,693.731,0.5777731981337346,1187.3441858595977,686.0156475495952,M,California,39
12350,0.0,0.0,17.0,0.0,0.9148335832077316,1265.5940519672656,1157.8079414476056,M,California,25
12356,0.0,0.0,107.0,0.0,0.4861626467316348,1265.5940519672656,615.28455399222,F,Illinois,31
12359,0.0,0.0,130.0,0.0,0.43505882016597264,1265.5940519672656,550.6078550579513,M,New York,41
12370,1.0,30.0,219.0,501.20000000000005,0.2746750748976748,1160.999548066076,318.897637821216,F,New York,21
12373,0.0,0.0,24.0,0.0,0.8547403926589986,1265.5940519672656,1081.7543569253937,F,New York,23
12377,1.0,139.0,179.0,5419.652,0.6616157869188479,1834.007201092455,1213.4081175656183,F,California,27
12383,3.0,72.0,171.0,722.1353333333333,1.0734052151387736,1090.4385955450628,1170.4824752466702,M,New York,32
12386,1.0,123.0,279.0,53.346,0.367580911861768,1099.7182405655706,404.23543365811156,M,California,38
12388,0.0,0.0,114.0,0.0,0.4693567241322186,1265.5940519672656,594.0150783125766,M,Illinois,31
12393,1.0,14.0,136.0,396.332,0.4389617742800674,1146.6501213445038,503.33557174383793,F,Illinois,39
12395,2.0,161.0,325.0,301.175,0.5517309192424965,1033.4323471619343,570.1765788745848,F,New Jersey,10
12402,0.0,0.0,94.0,0.0,0.5208795197865959,1265.5940519672656,659.2220220334814,F,California,22
12410,0.0,0.0,10.0,0.0,0.9845857133168247,1265.5940519672656,1246.0858224257206,M,California,8
12413,1.0,22.0,153.0,19.432,0.41595901283697817,1095.077678546314,455.5074301479345,F,New Jersey,15
12414,1.0,1.0,18.0,422.071,1.6051929912466774,1150.1720717429719,1846.248148289489,M,New York,43
12415,2.0,18.0,158.0,13.9395,0.4355747611937751,964.2870070480238,420.01908281720307,M,Illinois,29
12417,2.0,114.0,188.0,586.149,1.012351495325,1102.0332831660896,1115.64504211111,F,California,37
12421,0.0,0.0,76.0,0.0,0.5783035682361717,1265.5940519672656,731.8975561911446,F,California,38
12422,1.0,1.0,103.0,630.774,0.5099482776622285,1178.729576463881,601.0911173472841,M,Illinois,50
12423,0.0,0.0,172.0,0.0,0.3652981787105164,1265.5940519672656,462.31920217050475,M,New York,9
12427,1.0,163.0,333.0,812.6600000000001,0.33352898543985776,1203.6176245689262,401.44136518000556,F,New York,37
12429,0.0,0.0,262.0,0.0,0.27231319413749167,1265.5940519672656,344.63795877261674,F,New Jersey,43
12431,4.0,323.0,363.0,968.0382500000001,1.455761225964916,1150.129948322874,1674.3145835894725,F,New Jersey,14
12433,2.0,91.0,356.0,8000.882,0.24983225270050563,2886.9597116153445,721.2556482084636,M,California,32
12434,0.0,0.0,222.0,0.0,0.30698203596471485,1265.5940519672656,388.5146387777443,F,Illinois,32
12437,2.0,112.0,129.0,829.379,1.5483771957171804,1160.5853112959917,1797.0238296950383,F,New Jersey,50
12441,1.0,1.0,278.0,110.80000000000001,0.11718425437070648,1107.579856719795,129.7909196657231,F,Illinois,39
12451,0.0,0.0,103.0,0.0,0.4963302597602356,1265.5940519672656,628.152624563922,M,Washington DC,49
12464,0.0,0.0,13.0,0.0,0.953358859971308,1265.5940519672656,1206.5653025699808,M,New York,26
12468,0.0,0.0,51.0,0.0,0.6838394814888137,1265.5940519672656,865.4631802726217,F,California,9
